NAME,PARTIES
ABELLI Gian Carlo,POPOLO DELLA LIBERTA'
ABRIGNANI Ignazio,POPOLO DELLA LIBERTA'
ADINOLFI Mario,PARTITO DEMOCRATICO
ADORNATO Ferdinando,UNIONE DI CENTRO PER IL TERZO POLO
AGOSTINI Luciano,PARTITO DEMOCRATICO
AIRAGHI Marco,POPOLO DELLA LIBERTA'
ALBINI Tea,PARTITO DEMOCRATICO
ALBONETTI Gabriele,PARTITO DEMOCRATICO
ALEMANNO Giovanni,POPOLO DELLA LIBERTA'
ALESSANDRI Angelo,MISTO
ALFANO Angelino,POPOLO DELLA LIBERTA'
ALFANO Gioacchino,POPOLO DELLA LIBERTA'
ALLASIA Stefano,LEGA NORD PADANIA
AMICI Sesa,PARTITO DEMOCRATICO
ANGELI Giuseppe,POPOLO DELLA LIBERTA'
ANGELUCCI Antonio,POPOLO DELLA LIBERTA'
ANTONIONE Roberto,MISTO
APREA Valentina,POPOLO DELLA LIBERTA'
ARACRI Francesco,POPOLO DELLA LIBERTA'
ARACU Sabatino,POPOLO DELLA LIBERTA'
ARGENTIN Ileana,PARTITO DEMOCRATICO
ARMOSINO Maria Teresa,POPOLO DELLA LIBERTA'
ASCIERTO Filippo,POPOLO DELLA LIBERTA'
BACCINI Mario,POPOLO DELLA LIBERTA'
BACHELET Giovanni Battista,PARTITO DEMOCRATICO
BALDELLI Simone,POPOLO DELLA LIBERTA'
BALOCCHI Maurizio,LEGA NORD PADANIA
BARANI Lucio,POPOLO DELLA LIBERTA'
BARBA Vincenzo,POPOLO DELLA LIBERTA'
BARBARESCHI Luca Giorgio,MISTO
BARBARO Claudio,FUTURO E LIBERTA' PER IL TERZO POLO
BARBATO Francesco,ITALIA DEI VALORI
BARBI Mario,PARTITO DEMOCRATICO
BARBIERI Emerenzio,POPOLO DELLA LIBERTA'
BARETTA Pier Paolo,PARTITO DEMOCRATICO
BECCALOSSI Viviana,POPOLO DELLA LIBERTA'
BELCASTRO Elio Vittorio,MISTO
BELLANOVA Teresa,PARTITO DEMOCRATICO
BELLOTTI Luca,POPOLO DELLA LIBERTA'
BELTRANDI Marco,PARTITO DEMOCRATICO
BENAMATI Gianluca,PARTITO DEMOCRATICO
BERARDI Amato,POPOLO DELLA LIBERTA'
BERGAMINI Deborah,POPOLO DELLA LIBERTA'
BERLUSCONI Silvio,POPOLO DELLA LIBERTA'
BERNARDINI Rita,PARTITO DEMOCRATICO
BERNARDO Maurizio,POPOLO DELLA LIBERTA'
BERNINI BOVICELLI Anna Maria,POPOLO DELLA LIBERTA'
BERRETTA Giuseppe,PARTITO DEMOCRATICO
BERRUTI Massimo Maria,POPOLO DELLA LIBERTA'
BERSANI Pier Luigi,PARTITO DEMOCRATICO
BERTOLINI Isabella,MISTO
BIANCOFIORE Michaela,POPOLO DELLA LIBERTA'
BIANCONI Maurizio,POPOLO DELLA LIBERTA'
BIASOTTI Sandro,POPOLO DELLA LIBERTA'
BIAVA Francesco,POPOLO DELLA LIBERTA'
BINDI Rosy,PARTITO DEMOCRATICO
BINETTI Paola,UNIONE DI CENTRO PER IL TERZO POLO
BITONCI Massimo,LEGA NORD PADANIA
BOBBA Luigi,PARTITO DEMOCRATICO
BOCCHINO Italo,FUTURO E LIBERTA' PER IL TERZO POLO
BOCCI Gianpiero,PARTITO DEMOCRATICO
BOCCIA Francesco,PARTITO DEMOCRATICO
BOCCIARDO Mariella,POPOLO DELLA LIBERTA'
BOCCUZZI Antonio,PARTITO DEMOCRATICO
BOFFA Costantino,PARTITO DEMOCRATICO
BONAIUTI Paolo,POPOLO DELLA LIBERTA'
BONAVITACOLA Fulvio,PARTITO DEMOCRATICO
BONCIANI Alessio,UNIONE DI CENTRO PER IL TERZO POLO
BONGIORNO Giulia,FUTURO E LIBERTA' PER IL TERZO POLO
BONINO Guido,LEGA NORD PADANIA
BONIVER Margherita,POPOLO DELLA LIBERTA'
BORDO Michele,PARTITO DEMOCRATICO
BORGHESI Antonio,ITALIA DEI VALORI
BOSI Francesco,UNIONE DI CENTRO PER IL TERZO POLO
BOSSA Luisa,PARTITO DEMOCRATICO
BOSSI Umberto,LEGA NORD PADANIA
BOTTA Marco,POPOLO DELLA LIBERTA'
BRAGA Chiara,PARTITO DEMOCRATICO
BRAGANTINI Matteo,LEGA NORD PADANIA
BRAMBILLA Michela Vittoria,POPOLO DELLA LIBERTA'
BRANCHER Aldo,POPOLO DELLA LIBERTA'
BRANDOLINI Sandro,PARTITO DEMOCRATICO
BRATTI Alessandro,PARTITO DEMOCRATICO
BRESSA Gianclaudio,PARTITO DEMOCRATICO
BRIGANDI' Matteo,LEGA NORD PADANIA
BRIGUGLIO Carmelo,FUTURO E LIBERTA' PER IL TERZO POLO
BRUGGER Siegfried,MISTO
BRUNETTA Renato,POPOLO DELLA LIBERTA'
BRUNO Donato,POPOLO DELLA LIBERTA'
BUCCHINO Gino,PARTITO DEMOCRATICO
BUONANNO Gianluca,LEGA NORD PADANIA
BUONFIGLIO Antonio,MISTO
BURTONE Giovanni Mario Salvino,PARTITO DEMOCRATICO
BUTTIGLIONE Rocco,UNIONE DI CENTRO PER IL TERZO POLO
CALABRIA Annagrazia,POPOLO DELLA LIBERTA'
CALDERISI Giuseppe,POPOLO DELLA LIBERTA'
CALDORO Stefano,POPOLO DELLA LIBERTA'
CALEARO CIMAN Massimo,POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA; POPOLARI D'ITALIA DOMANI-PID; MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN; AZIONE POPOLARE; ALLEANZA DI CENTRO-ADC; INTESA POPOLARE)
CALGARO Marco,UNIONE DI CENTRO PER IL TERZO POLO
CALLEGARI Corrado,LEGA NORD PADANIA
CALVISI Giulio,PARTITO DEMOCRATICO
CAMBURSANO Renato,MISTO
CANNELLA Pietro,POPOLO DELLA LIBERTA'
CAPANO Cinzia,PARTITO DEMOCRATICO
CAPARINI Davide,LEGA NORD PADANIA
CAPITANIO SANTOLINI Luisa,UNIONE DI CENTRO PER IL TERZO POLO
CAPODICASA Angelo,PARTITO DEMOCRATICO
CARDINALE Daniela,PARTITO DEMOCRATICO
CARELLA Renzo,PARTITO DEMOCRATICO
CARFAGNA Maria Rosaria,POPOLO DELLA LIBERTA'
CARLUCCI Gabriella,UNIONE DI CENTRO PER IL TERZO POLO
CARRA Enzo,UNIONE DI CENTRO PER IL TERZO POLO
CARRA Marco,PARTITO DEMOCRATICO
CASERO Luigi,POPOLO DELLA LIBERTA'
CASINI Pier Ferdinando,UNIONE DI CENTRO PER IL TERZO POLO
CASSINELLI Roberto,POPOLO DELLA LIBERTA'
CASTAGNETTI Pierluigi,PARTITO DEMOCRATICO
CASTELLANI Carla,POPOLO DELLA LIBERTA'
CASTIELLO Giuseppina,POPOLO DELLA LIBERTA'
CATANOSO GENOESE Francesco Detto Basilio Catanoso,POPOLO DELLA LIBERTA'
CATONE Giampiero,POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA; POPOLARI D'ITALIA DOMANI-PID; MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN; AZIONE POPOLARE; ALLEANZA DI CENTRO-ADC; INTESA POPOLARE)
CATTANEO Valerio,POPOLO DELLA LIBERTA'
CAUSI Marco,PARTITO DEMOCRATICO
CAVALLARO Mario,PARTITO DEMOCRATICO
CAVALLOTTO Davide,LEGA NORD PADANIA
CAZZOLA Giuliano,MISTO
CECCACCI RUBINO Fiorella,POPOLO DELLA LIBERTA'
CECCUZZI Franco,PARTITO DEMOCRATICO
CENNI Susanna,PARTITO DEMOCRATICO
CENTEMERO Elena,POPOLO DELLA LIBERTA'
