NAME,PARTIES
ABATE Rosa Silvana,M5S
ACCOTO Rossella,M5S
AGOSTINELLI Donatella,M5S
AIMI Enrico,FI-BP
AIROLA Alberto,M5S
ALBERTI CASELLATI Maria Elisabetta,FI-BP
ALDERISI Francesca,FI-BP
ALFIERI Alessandro,PD
ANASTASI Cristiano,M5S
ANGRISANI Luisa,M5S
ARRIGONI Paolo,L-SP-PSd'Az
ASTORRE Bruno,PD
AUDDINO Giuseppe,M5S
AUGUSSORI Luigi,L-SP-PSd'Az
BAGNAI Alberto,L-SP-PSd'Az
BALBONI Alberto,FdI
BARACHINI Alberto,FI-BP
BARBARO Claudio,L-SP-PSd'Az
BARBONI Antonio,FI-BP
BATTISTONI Francesco,FI-BP
BELLANOVA Teresa,PD
BERARDI Roberto,FI-BP
BERGESIO Giorgio Maria,L-SP-PSd'Az
BERNINI Anna Maria,FI-BP
BERTACCO Stefano,FdI
BERUTTI Massimo Vittorio,FI-BP
BIASOTTI Sandro Mario,FI-BP
BINETTI Paola,FI-BP
BINI Caterina,PD
BITI Caterina,PD
BOGO DELEDDA Vittoria Francesca Maria,M5S
BOLDRINI Paola,PD
BONFRISCO Anna Cinzia,L-SP-PSd'Az
BONGIORNO Giulia,L-SP-PSd'Az
BONIFAZI Francesco,PD
BONINO Emma,Misto
BORGHESI Stefano,L-SP-PSd'Az
BORGONZONI Lucia,L-SP-PSd'Az
BOSSI Simone,L-SP-PSd'Az
BOSSI Umberto,L-SP-PSd'Az
BOTTICI Laura,M5S
BOTTO Elena,M5S
BRESSA Gianclaudio,Aut (SVP-PATT; UV)
BRIZIARELLI Luca,L-SP-PSd'Az
BRUZZONE Francesco,L-SP-PSd'Az
BUCCARELLA Maurizio,Misto
CALANDRINI Nicola,FdI
CALDEROLI Roberto,L-SP-PSd'Az
CALIENDO Giacomo,FI-BP
CAMPAGNA Antonella,M5S
CAMPARI Maurizio,L-SP-PSd'Az
CANDIANI Stefano,L-SP-PSd'Az
CANDURA Massimo,L-SP-PSd'Az
CANGINI Andrea,FI-BP
CANTU' Maria Cristina,L-SP-PSd'Az
CARBONE Vincenzo,FI-BP
CARIO Adriano,Misto
CASINI Pier Ferdinando,Aut (SVP-PATT; UV)
CASOLATI Marzia,L-SP-PSd'Az
CASTALDI Gianluca,M5S
CASTELLONE Maria Domenica,M5S
CASTIELLO Francesco,M5S
CATALFO Nunzia,M5S
CATTANEO Elena,Aut (SVP-PATT; UV)
CAUSIN Andrea,FI-BP
CENTINAIO Gian Marco,L-SP-PSd'Az
CERNO Tommaso,PD
CESARO Luigi,FI-BP
CIAMPOLILLO Lello,M5S
CIOFFI Andrea,M5S
CIRIANI Luca,FdI
CIRINNA' Monica,PD
COLLINA Stefano,PD
COLTORTI Mauro,M5S
COMINCINI Eugenio,PD
CONZATTI Donatella,FI-BP
CORBETTA Gianmarco,M5S
CORRADO Margherita,M5S
CRAXI Stefania Gabriella Anastasia,FI-BP
CRIMI Vito Claudio,M5S
CROATTI Marco,M5S
CRUCIOLI Mattia,M5S
CUCCA Giuseppe Luigi Salvatore,PD
D'ALFONSO Luciano,PD
DAL MAS Franco,FI-BP
DAMIANI Dario,FI-BP
D'ANGELO Grazia,M5S
D'ARIENZO Vincenzo,PD
DE BERTOLDI Andrea,FdI
DE BONIS Saverio,Misto
DE FALCO Gregorio,Misto
DELL'OLIO Gianmauro,M5S
DE LUCIA Danila,M5S
DE PETRIS Loredana,Misto
DE POLI Antonio,FI-BP
DE SIANO Domenico,FI-BP
DESSI' Emanuele,M5S
DE VECCHIS William,L-SP-PSd'Az
DI GIROLAMO Gabriella,M5S
DI MARZIO Luigi,M5S
DI MICCO Fabio,M5S
DI NICOLA Primo,M5S
DI PIAZZA Stanislao,M5S
DONNO Daniela,M5S
DRAGO Tiziana Carmela Rosaria,M5S
DURNWALDER Meinhard,Aut (SVP-PATT; UV)
ENDRIZZI Giovanni,M5S
ERRANI Vasco,Misto
EVANGELISTA Elvira Lucia,M5S
FAGGI Antonella,L-SP-PSd'Az
FANTETTI Raffaele,FI-BP
FARAONE Davide,PD
FATTORI Elena,M5S
FAZZOLARI Giovanbattista,FdI
FAZZONE Claudio,FI-BP
FEDE Giorgio,M5S
FEDELI Valeria,PD
FENU Emiliano,M5S
FERRARA Gianluca,M5S
FERRARI Alan,PD
FERRAZZI Andrea,PD
FERRERO Roberta,L-SP-PSd'Az
FERRO Massimo,FI-BP
FLORIDIA Barbara,M5S
FLORIS Emilio,FI-BP
FREGOLENT Sonia,L-SP-PSd'Az
FUSCO Umberto,L-SP-PSd'Az
GALLIANI Adriano,FI-BP
GALLICCHIO Agnese,M5S
GALLONE Maria Alessandra,FI-BP
GARAVINI Laura,PD
GARNERO SANTANCHE' Daniela,FdI
GARRUTI Vincenzo,M5S
GASPARRI Maurizio,FI-BP
GAUDIANO Felicia,M5S
GHEDINI Niccolo',FI-BP
GIACOBBE Francesco,PD
GIAMMANCO Gabriella,FI-BP
GIANNUZZI Silvana,M5S
GIARRUSSO Mario Michele,M5S
GINETTI Nadia,PD
GIRO Francesco Maria,FI-BP
GIROTTO Gianni Pietro,M5S
GRANATO Bianca Laura,M5S
GRASSI Ugo,M5S
GRASSO Pietro,Misto
GRIMANI Leonardo,PD
GUIDOLIN Barbara,M5S
IANNONE Antonio,FdI
IORI Vanna,PD
IWOBI Tony Chike,L-SP-PSd'Az
L'ABBATE Patty,M5S
LAFORGIA Francesco,Misto
LA MURA Virginia,M5S
LANIECE Albert,Aut (SVP-PATT; UV)
LANNUTTI Elio,M5S
LANZI Gabriele,M5S
LA PIETRA Patrizio Giacomo,FdI
LA RUSSA Ignazio,FdI
LAUS Mauro Antonio Donato,PD
LEONE Cinzia,M5S
LEZZI Barbara,M5S
LICHERI Ettore Antonio,M5S
LOMUTI Arnaldo,M5S
LONARDO Alessandrina,FI-BP
LOREFICE Pietro,M5S
LUCIDI Stefano,M5S
LUPO Giulia,M5S
MAFFONI Gianpietro,FdI
MAGONI Lara,FdI
MAGORNO Ernesto,PD
MAIORINO Alessandra,M5S
MALAN Lucio,FI-BP
MALLEGNI Massimo,FI-BP
MALPEZZI Simona Flavia,PD
MANCA Daniele,PD
MANGIALAVORI Giuseppe Tommaso Vincenzo,FI-BP
MANTERO Matteo,M5S
MANTOVANI Maria Laura,M5S
MARCUCCI Andrea,PD
MARGIOTTA Salvatore,PD
MARILOTTI Gianni,M5S
MARIN Raffaella Fiormaria,L-SP-PSd'Az
MARINELLO Gaspare Antonio,M5S
MARINO Mauro Maria,PD
MARSILIO Marco,FdI
MARTELLI Carlo,Misto
MARTI Roberto,L-SP-PSd'Az
MASINI Barbara,FI-BP
MATRISCIANO Susy,M5S
MAUTONE Raffaele,M5S
MERLO Ricardo Antonio,Misto
MESSINA Alfredo,FI-BP
MESSINA Assuntela,PD
MININNO Cataldo,M5S
MINUTO Anna Carmela,FI-BP
MIRABELLI Franco,PD
MISIANI Antonio,PD
MODENA Fiammetta,FI-BP
MOLES Giuseppe,FI-BP
MOLLAME Francesco,M5S
MONTANI Enrico,L-SP-PSd'Az
MONTEVECCHI Michela,M5S
MONTI Mario,Misto
MORONESE Vilma,M5S
MORRA Nicola,M5S
NANNICINI Tommaso,PD
NAPOLITANO Giorgio,Aut (SVP-PATT; UV)
NASTRI Gaetano,FdI
NATURALE Gisella,M5S
NENCINI Riccardo,Misto
NISINI Tiziana,L-SP-PSd'Az
NOCERINO Simona Nunzia,M5S
NUGNES Paola,M5S
ORTIS Fabrizio,M5S
ORTOLANI Franco,M5S
OSTELLARI Andrea,L-SP-PSd'Az
PACIFICO Marinella,M5S
PAGANO Nazario,FI-BP
PAPATHEU Urania Giulia Rosina,FI-BP
PARAGONE Gianluigi,M5S
PARENTE Annamaria,PD
PAROLI Adriano,FI-BP
PARRINI Dario,PD
PATRIARCA Edoardo,PD
PATUANELLI Stefano,M5S
PAZZAGLINI Giuliano,L-SP-PSd'Az
PELLEGRINI Emanuele,L-SP-PSd'Az
PELLEGRINI Marco,M5S
PEPE Pasquale,L-SP-PSd'Az
PERGREFFI Simona,L-SP-PSd'Az
PERILLI Gianluca,M5S
PEROSINO Marco,FI-BP
PESCO Daniele,M5S
PETROCELLI Vito Rosario,M5S
PIANASSO Cesare,L-SP-PSd'Az
PIANO Renzo,INDEPENDENT
PIARULLI Angela Anna Bruna,M5S
PICHETTO FRATIN Gilberto,FI-BP
PILLON Simone,L-SP-PSd'Az
PINOTTI Roberta,PD
PIROVANO Daisy,L-SP-PSd'Az
PIRRO Elisa,M5S
PISANI Giuseppe,M5S
PISANI Pietro,L-SP-PSd'Az
PITTELLA Gianni,PD
PITTONI Mario,L-SP-PSd'Az
PIZZOL Nadia,L-SP-PSd'Az
PRESUTTO Vincenzo,M5S
